X,Y,PROFONDEUR
2499715.49,1117744.13,125
2499713.93,1117764.41,125
2499718.18,1117772.43,125
2499718.59,1117767.37,125
2499718.98,1117762.31,125
2499719.39,1117757.22,125
2499719.8,1117752.09,125
2499720.17,1117747.05,125
2499720.58,1117742.01,125
2499725.69,1117739.73,125
2499725.29,1117744.88,125
2499724.87,1117749.89,125
2499724.39,1117754.97,125
2499724.06,1117759.96,125
2499723.63,1117765.14,125
2499723.22,1117770.2,125
2499728.27,1117768.16,125
2499728.68,1117763.1,125
2499729.1,1117758.04,125
2499729.51,1117752.98,125
2499729.93,1117747.92,125
2499730.38,1117742.84,125
2499730.76,1117737.79,125
2499732.99,1117771.04,125
2499733.35,1117766.02,125
2499733.73,1117760.95,125
2499734.17,1117755.91,125
2499734.6,1117750.84,125
2499735.05,1117745.79,125
2497290.31,1114386.43,150
2497284.84,1114394.82,150
2497279.37,1114403.19,150
2497273.89,1114411.57,150
2497265.51,1114406.1,150
2497257.14,1114400.62,150
2497251.66,1114409,150
2497260.04,1114414.47,150
2497268.42,1114419.95,150
2497276.79,1114425.42,150
2497285.17,1114430.9,150
2497293.55,1114436.37,150
2497301.92,1114441.84,150
2497307.4,1114433.47,150
2497299.02,1114427.99,150
2497290.64,1114422.52,150
2497282.27,1114417.04,150
2497287.74,1114408.67,150
2497293.22,1114400.29,150
2497298.69,1114391.9,150
2506079.65,1125457.95,116
2501944.12,1126891.47,200
2501944.11,1126883.46,200
2498580.65,1125280.45,155
2498578.23,1125274.96,155
2498572.33,1125273.86,155
2503818.56,1117996.3,137
2489259.76,1114149.27,116
2489264.49,1114153.43,116
2489269.45,1114157.78,116
2503305.92,1119878.15,210
2503300.88,1119881.29,210
2508964.5,1120550.2,
2508963.18,1120546.61,
2505073.56,1121386.93,135
2505079.4,1121386.68,135
2509091.7,1119363.68,210
2509088.58,1119358.55,210
2509085.47,1119353.42,210
2504676.85,1117253.65,110
2504682.91,1117253.54,110
2501168.84,1127190.4,
2501962.79,1126397.15,
2501964.14,1126405.04,
2501965.49,1126412.92,
2501895.5,1127944.35,
2493696.24,1120341.2,
2493701.11,1120335.36,
2493707.03,1120329.26,
2506169.83,1125861.15,160
2506175.57,1125862.87,160
2506181.34,1125864.63,160
2506160.03,1125852.02,160
2506165.81,1125853.7,160
2506171.59,1125855.33,160
2506177.32,1125857.05,160
2506183.06,1125858.68,160
2491253.03,1120133.34,200
2491264.24,1120144.63,200
2491239.85,1120109.17,200
2491239.85,1120119.47,200
2491242.22,1120129.15,200
2491174.31,1120093.12,200
2491166.66,1120105.04,200
2507093.54,1126846.29,150
2507092.94,1126837.77,150
2507086.46,1126831.94,150
2507079.49,1126826.9,150
2507071.45,1126823.48,150
2503356.39,1119632.16,200
2503362.39,1119639.16,200
2503361.39,1119627.16,200
2503366.39,1119634.16,200
2503373.39,1119644.16,200
2503372.39,1119626.16,200
2503376.39,1119633.16,200
2503382.39,1119642.16,200
2503381.39,1119648.16,200
2509496.81,1119106.56,180
2509502.01,1119109.54,180
2509507.22,1119112.82,180
2503896.64,1121262.03,220
2503895.47,1121255.25,220
2503894.24,1121248.47,220
2503893.04,1121241.69,220
2501378.7,1124071.37,150
2501373.56,1124074.46,150
2501368.42,1124077.56,150
2501365.33,1124072.42,150
2501370.47,1124069.33,150
2501375.61,1124066.23,150
2498328.2,1116233.37,160
2497304.73,1115018.25,200
2497303.38,1115024.21,200
2504645.71,1121485.4,152
2504640.92,1121479,152
2504612.08,1120921.15,170
2504611.58,1120921.18,170
2504856.08,1119922.13,100
2504860.16,1119917.6,100
2504981.41,1123528.25,119
2504976.73,1123524.22,125
2504969.13,1123510.48,65
2504966.44,1123505.33,59
2504968.19,1123499.66,113
2503515.25,1117721.31,150
2503471.65,1117264.03,100
2503466.93,1117260.33,100
2503462.21,1117256.63,100
2503457.49,1117252.92,100
2491832.64,1119132.41,230
2491827.12,1119126.69,230
2491821.4,1119120.88,230
2491828.74,1119113.92,230
2491834.46,1119119.73,230
2491839.98,1119125.45,230
2501073.85,1124713.39,130
2504086.47,1116356.73,200
2504082.1,1116352.62,200
2504077.73,1116348.52,200
2496792.65,1117342.65,160
2504092.88,1122276.84,80
2504094.66,1122283.24,80
2504639.28,1121128.86,150
2504638.33,1121139.71,150
2503983.75,1115937.32,95
2503990.62,1115933.23,95
2497778.48,1114829.03,180
2500002.04,1122726.22,135
2500015.02,1122719.89,135
2500026.34,1122723.98,135
2500033.87,1122726.97,135
2500012.76,1122742.39,135
2500040.74,1122742.87,135
2504625.2,1121121.94,140
2504620.96,1121126.26,140
2504614.95,1121121.26,140
2504623.3,1121404.92,160
2504621.91,1121390.22,90
2500279.08,1124932.2,110
2500277.62,1124927.02,110
2502021.38,1127773.26,180
2502016.75,1127765.43,180
2502012.3,1127757.9,180
2502010.17,1127765.08,180
2502015.27,1127773.26,180
2504831.63,1117483.95,200
2504835.78,1117477.11,200
2501265.83,1127023.76,
2503899.41,1118165.17,60
2504259.4,1123530.21,120
2506289.4,1119360.17,120
2495977.28,1119375.19,126
2502132.45,1116280.22,27
2503372.39,1119900.17,180
2498059.38,1111500.16,80
2505514.7,1117455.6,160
2506467.65,1124079.26,
2506461.81,1124083.47,
2503714.56,1120649.66,
2503709.22,1120656.88,
2503704.34,1120663.45,
2503698.92,1120669.78,
2503688.08,1120665.84,
2503694.22,1120676.3,
2503660.84,1117143.54,130
2503685.23,1117134.71,130
2505836.62,1121473.75,130
2505831.86,1121462.71,130
2505834.38,1121468.56,130
2504764.58,1121366.93,110
2504759.74,1121363.37,110
2504754.9,1121359.82,110
2504750.07,1121356.27,110
2504153.89,1117168.15,110
2508931.36,1119139.26,170
2508936.38,1119141.65,170
2508938.45,1119135.87,170
2508933.42,1119133.47,170
2499426.82,1113772.61,25
2499423.07,1113768.12,25
2499419.23,1113763.51,25
2497512.77,1115516.23,130
2497527.96,1114480.8,76
2497524.32,1114484.22,76
2497520.67,1114487.64,76
2499041.87,1115718.23,
2499042.03,1115710.17,
2504410.74,1120497.53,135
2501052.72,1126275.5,160
2501057.89,1126272.55,160
2501063.05,1126269.59,160
2504004.62,1120584.84,130
2504024,1120603.13,130
2504043.32,1120620.43,170
2503979.26,1120559.42,180
2503957.07,1120596.26,170
2504186.04,1121531.87,249
2504183.31,1121526.87,249
2504180.61,1121521.88,250
2504177.88,1121516.88,250
2504175.16,1121511.87,249
2504172.45,1121506.88,249
2504169.73,1121501.88,249
2504166.99,1121496.87,249
2504164.48,1121492.24,250
2504173.53,1121493.33,250
2504176.25,1121498.33,250
2504178.96,1121503.32,249
2504182.77,1121494.77,249
2504185.5,1121499.78,250
2504188.22,1121504.78,249
2504181.68,1121508.33,249
2504184.4,1121513.33,250
2504190.94,1121509.77,249
2504193.65,1121514.79,249
2504187.13,1121518.32,250
2504192.56,1121528.33,250
2504199.1,1121524.79,250
2504196.37,1121519.76,249
2504205.62,1121521.24,249
2504202.91,1121516.24,250
2504200.19,1121511.23,249
2504197.46,1121506.24,249
2504209.43,1121512.69,249
2504205.36,1121505.18,249
2504194.74,1121501.22,250
2504192.02,1121496.23,250
2504201.26,1121497.68,248
2504198.54,1121492.69,249
2504189.3,1121491.23,248
2504186.57,1121486.22,250
2504195.83,1121487.67,249
2504193.11,1121482.66,299
2504216.3,1121509.81,250
2504216.37,1121504.07,249
2504222.02,1121500.98,249
2504226.72,1121492.98,250
2504224.12,1121488.21,249
2504220.64,1121483.91,249
2504215.42,1121486.75,249
2504210.2,1121489.56,210
2504204.97,1121492.43,299
2504200.9,1121484.91,299
2504206.1,1121482.07,299
2504211.34,1121479.24,299
2504216.55,1121476.39,299
2504221.77,1121473.55,258
2504223.24,1121467.54,299
2504217.69,1121466.02,292
2504212.47,1121468.86,156
2504207.25,1121471.71,124
2504202.03,1121474.56,296
2504196.79,1121477.39,290
2504180.05,1121489.78,249
2504191.54,1121534.18,250
2504278.69,1134024.3,185
2504282.37,1134019.47,185
2504753.95,1120946.18,114
2504757.49,1120941.33,114
2504760.57,1120947.29,114
2496954.93,1115220.49,120
2496961.75,1115225.25,120
2507429.05,1127193.09,100
2507430.79,1127198.9,100
2507432.87,1127203.5,100
2489368.34,1112451.43,110
2489366.02,1112446.89,110
2508112.31,1120962.01,130
2504136.09,1133958.08,135
2503477.54,1134159.98,250
2503475.39,1134151.59,250
2503473.23,1134143.38,250
2503471.08,1134135.06,250
2503479.17,1134137.39,250
2503481.27,1134145.66,250
2503483.37,1134153.87,250
