,X,Y,PROFONDEUR,lon,lat
1939,2496247.4,1119561.93,,6.093994098231127,46.219486698819345
1940,2496239.86,1119564.55,,6.093895814891269,46.21950909974129
1941,2496232.32,1119567.18,,6.09379752924602,46.21953159052061
1942,2496222.15,1119562.26,,6.093666844533304,46.21948576825747
1943,2496229.69,1119559.64,,6.093765127925331,46.21946336753476
1944,2496237.23,1119557.01,,6.093863413460781,46.21944087678376
1945,2496244.78,1119554.39,,6.09396182626698,46.21941847743395
1946,2496252.32,1119551.76,,6.0940601116400375,46.21939598651183
1947,2496278.24,1119601.92,,6.094384820003673,46.219851140734775
1948,2496285.78,1119599.3,,6.094483103759769,46.21982873938695
1949,2496280.87,1119609.46,,6.094417222332121,46.21991936354391
1950,2496283.49,1119617.01,,6.094449492940857,46.21998767474346
1951,2496286.12,1119624.55,,6.094481895431706,46.22005589753446
1952,2496291.04,1119614.38,,6.094547908717629,46.21996518493954
1953,2496288.41,1119606.84,,6.094515506198074,46.2198969621678
